arm,run,step,val_acc,resp_len,resp_len_clip_frac,entropy,grad_norm,lr,pg_loss,distill_loss,eos_p_at_stop,eos_q_at_stop,eos_p_mean,eos_q_mean,eos_sampled_is_stop,eos_missing,entropy_student,entropy_teacher_topk,entropy_gap_abs,delta_ell_p50,delta_ell_p95,overlap_ratio,overlap_student_mass,overlap_teacher_mass,reward_mean,time_per_step_s,tokens
a1_gkd_mix0.5_n0,a1_gkd_mix0.5_n0_s0_16k,1,,3769.5,0.03125,0.7032021880149841,28.11937713623047,1e-06,-0.40048791898880154,-0.32295820966828614,0.5297560901461362,0.43779241414274017,0.0005679839383007895,0.00017329167641538993,0.0002569209822907177,0,0.7020348485173851,0.3313765397359585,0.4225555558142991,0.004711659581015079,2.491201209097073,0.539868595271275,0.972771182142455,0.9822550827059252,0.2734375,372.2840946614742,498179
a1_gkd_mix0.5_n0,a1_gkd_mix0.5_n0_s0_16k,2,,4719.4921875,0.0703125,0.7341050505638123,28.864173889160156,1e-06,-0.4389471113681793,-0.3389981233049184,0.501248787674639,0.4270743483470546,0.000582589313934376,0.00012797725629020028,0.00019628255459893908,0,0.7335342268149058,0.33203256875276566,0.4537249480684598,0.004110343359772944,2.5834696325990887,0.5191371283597417,0.9689203864998288,0.9791426824198829,0.3046875,403.14135286957026,620444
a1_gkd_mix0.5_n0,a1_gkd_mix0.5_n0_s0_16k,3,,3666.546875,0.0390625,1.099673867225647,26.78463363647461,1e-06,-0.41688751708716154,-0.2895632819272578,0.4702862086040633,0.36394897874976906,0.0005720611926725334,0.0001505444370332652,0.0002616338299828515,0,1.114457151719502,0.42043852380343844,0.7422483531492097,-0.004502470871167523,2.4783497559172765,0.5335553277816091,0.9365304751055581,0.9476620640073504,0.265625,317.8769096452743,486499
a1_gkd_mix0.5_n0,a1_gkd_mix0.5_n0_s0_16k,4,,4680.8359375,0.0546875,0.7463688254356384,26.020862579345703,1e-06,-0.3728764373809099,-0.33857760261162184,0.5580133265919156,0.4801429294877582,0.0005378698531583521,0.00015143787916511227,0.00020109620911373186,0,0.740134568238217,0.33492558137125644,0.45468840970554286,0.008638112210772105,2.530105842487602,0.5233849055237241,0.9703080571360059,0.9821642653809654,0.3515625,396.4705257564783,615799
a1_gkd_mix0.5_n0,a1_gkd_mix0.5_n0_s0_16k,5,,3908.15625,0.046875,0.8280916213989258,21.564496994018555,1e-06,-0.3329252232797444,-0.2817908744327724,0.4583422303199768,0.41036248753468196,0.0005050359148299321,0.00017131800025017204,0.00024313240088910486,0,0.8287862966458003,0.35372793277104697,0.518583192427953,0.008908307268090236,2.2894871244827906,0.5118911534547805,0.9615358889102936,0.9726717432339986,0.265625,334.6887348331511,518339
a1_gkd_mix0.5_n0,a1_gkd_mix0.5_n0_s0_16k,6,,3288.15625,0.03125,1.1041895151138306,23.706552505493164,1e-06,-0.5315830472391099,-0.2671870917547494,0.4645619747730402,0.42038015906627363,0.0005234856972282825,0.00018640577078398425,0.00029461029267762427,0,1.0980210499121592,0.4337143932397549,0.71692999624289,-0.002528798211222658,2.394607653984657,0.5448369028476568,0.9403707556999646,0.9513753492098588,0.3515625,279.0664999317378,436989
a1_gkd_mix0.5_n0,a1_gkd_mix0.5_n0_s0_16k,7,,4653.6953125,0.0703125,0.9942582845687866,21.877717971801758,1e-06,-0.3866597593296319,-0.30894053634256124,0.45490018005673644,0.39076539908907965,0.0005101726783323102,0.00012635356760407981,0.00019979740520486503,0,1.0166150538457766,0.38879088312387466,0.6663652563260661,-0.004375114610108237,2.4240878423055015,0.527381944987509,0.9468083017402225,0.9602351130710708,0.296875,384.73488223180175,611331
a1_gkd_mix0.5_n0,a1_gkd_mix0.5_n0_s0_16k,8,,3335.5234375,0.03125,0.8629066348075867,20.572250366210938,1e-06,-0.2917572392616421,-0.2816581935621798,0.4361801129909089,0.35601881601010416,0.000560004877535483,0.0001682818967240634,0.0002911571388652262,0,0.862506695664846,0.38566313970547456,0.5185604353363698,0.008911497774533927,2.3294088224378915,0.5285758089560729,0.9631501275759476,0.9777161616545457,0.203125,298.32596377655864,443631
a1_gkd_mix0.5_n0,a1_gkd_mix0.5_n0_s0_16k,9,,4416.4296875,0.0546875,1.2622228860855103,13.91154670715332,1e-06,-0.5240441411733627,-0.28114452597219497,0.48664147801258983,0.48183780645622926,0.0004585256632280481,0.0001606999907397805,0.0002140766043928178,0,1.2641352020642336,0.4528423810706419,0.8588212824919644,-0.0008800428442876128,2.2930254883625927,0.5454108820242041,0.9282171480795917,0.944665237384684,0.375,375.84637694992125,582728
a1_gkd_mix0.5_n0,a1_gkd_mix0.5_n0_s0_16k,10,,3993.140625,0.0625,1.2701544761657715,11.744297981262207,1e-06,-0.34308213205076754,-0.22360808498342521,0.4059708329939073,0.3932495645938381,0.0004990154702682048,0.00016794101962190207,0.00023408758129188492,0,1.2829411289384287,0.4695474019935054,0.8435303751499422,-0.0013163092718910306,2.0870738663981037,0.5386675317441264,0.9266122733393023,0.9421268163188812,0.2734375,341.37557723373175,527816
