wave,arm,step,val_acc,resp_len,clip_ratio,tps,tokens,h_target,h9_budget
legacy,a1_gkd_mix0.5,61,,6499.6640625,0.1640625,247.05811853706837,850456,,
legacy,a1_gkd_mix0.5,62,,8191.609375,0.2265625,313.77136422879994,1066882,,
legacy,a1_gkd_mix0.5,63,,7513.6796875,0.171875,273.446432614699,979110,,
legacy,a1_gkd_mix0.5,64,,7310.8671875,0.2109375,318.6239437479526,955477,,
legacy,a1_gkd_mix0.5,65,,7156.1015625,0.1796875,277.74302378483117,932837,,
legacy,a1_gkd_mix0.5,66,,8105.2265625,0.2734375,323.5597638320178,1054274,,
legacy,a1_gkd_mix0.5,67,,8667.25,0.2890625,392.5192180965096,1125758,,
legacy,a1_gkd_mix0.5,68,,7112.359375,0.171875,288.00084433332086,925277,,
legacy,a1_gkd_mix0.5,69,,8408.7734375,0.2890625,370.51671385765076,1092040,,
legacy,a1_gkd_mix0.5,70,,8613.5078125,0.2734375,352.3678790759295,1119902,,
legacy,a1_gkd_mix0.5,71,,9264.8203125,0.2890625,401.68631519190967,1202399,,
legacy,a1_gkd_mix0.5,72,,8655.46875,0.2734375,353.0615545399487,1124871,,
legacy,a1_gkd_mix0.5,73,,9227.1484375,0.2890625,401.2153126746416,1198885,,
legacy,a3_offpolicy,1,,6984.7734375,0.078125,155.822240781039,909734,,
legacy,a3_offpolicy,2,,7420.6484375,0.1171875,140.17833471670747,966192,,
legacy,a3_offpolicy,3,,6840.2265625,0.0703125,127.53808730468154,892730,,
legacy,a3_offpolicy,4,,7132.3515625,0.1015625,134.1564598120749,929593,,
legacy,a3_offpolicy,5,,6935.2578125,0.09375,134.74429988861084,905808,,
legacy,a3_offpolicy,6,,6692,0.109375,125.61611825972795,872681,,
legacy,a3_offpolicy,7,,7517.484375,0.1328125,143.2325715571642,977896,,
legacy,a3_offpolicy,8,,6530.5625,0.0625,130.5110100992024,852596,,
legacy,a3_offpolicy,9,,6883.2734375,0.0703125,129.55798237025738,898484,,
legacy,a3_offpolicy,10,,6839.0546875,0.1015625,129.56180312111974,892093,,
legacy,a3_offpolicy,11,,6861.703125,0.0859375,125.91322841122746,895275,,
legacy,a3_offpolicy,12,,6778.625,0.0859375,127.22117605805397,885094,,
legacy,a3_offpolicy,13,,6435.953125,0.0703125,126.88057861104608,841571,,
legacy,a3_offpolicy,14,,6894.6484375,0.078125,135.9542818814516,898269,,
legacy,a3_offpolicy,15,,6813.3125,0.0703125,132.06653998419642,887622,,
legacy,a3_offpolicy,16,,6602.265625,0.1015625,130.25541457533836,861481,,
legacy,a3_offpolicy,17,,6687.6640625,0.0625,124.7234225794673,871281,,
legacy,a3_offpolicy,18,,6300.3984375,0.0625,115.58622698485851,823072,,
legacy,a3_offpolicy,19,,6292.71875,0.0703125,118.99126759171486,822236,,
legacy,a3_offpolicy,20,,6757,0.0703125,124.39102697372437,883023,,
legacy,a3_offpolicy,21,,7203.7421875,0.1171875,138.85690815374255,939053,,
legacy,a3_offpolicy,22,,7157.453125,0.09375,129.06376790255308,934071,,
legacy,a3_offpolicy,23,,7488.796875,0.109375,139.01909932121634,975303,,
legacy,a3_offpolicy,24,,6752.484375,0.0703125,130.80220998823643,884075,,
legacy,a3_offpolicy,25,0.46,6805.921875,0.09375,158.33674047514796,887289,,
legacy,a3_offpolicy,26,,7477.5546875,0.1171875,144.17705364897847,973869,,
legacy,a3_offpolicy,27,,6352.859375,0.0625,120.68966305628419,830128,,
legacy,a3_offpolicy,28,,7411.7578125,0.125,141.3004318624735,966822,,
legacy,a3_offpolicy,29,,6403.6015625,0.0546875,118.62851100414991,835814,,
legacy,a3_offpolicy,30,,6786.921875,0.1015625,125.3383748754859,885037,,
legacy,a3_offpolicy,31,,7176.078125,0.0859375,132.18223008140922,934883,,
legacy,a3_offpolicy,32,,6315.328125,0.046875,120.70445775613189,823534,,
legacy,a3_offpolicy,33,,7321.3046875,0.109375,143.46910190954804,954080,,
legacy,a3_offpolicy,34,,6989.7890625,0.0625,130.01789731904864,912516,,
legacy,a3_offpolicy,35,,7132.4609375,0.125,133.01843489706516,931225,,
legacy,a3_offpolicy,36,,7307.53125,0.1015625,139.19824868440628,951762,,
legacy,a3_offpolicy,37,,6399.921875,0.09375,123.80418474972248,835352,,
legacy,a3_offpolicy,38,,6702.859375,0.0859375,129.8945990279317,875326,,
legacy,a3_offpolicy,39,,6193.3125,0.0390625,107.1377916187048,807701,,
legacy,a3_offpolicy,40,,6841.390625,0.0703125,127.59533967077732,891405,,
legacy,a3_offpolicy,41,,6804.1015625,0.0625,131.98540905490518,887270,,
legacy,a3_offpolicy,42,,7536.2421875,0.1484375,144.68685188516974,981035,,
legacy,a3_offpolicy,43,,6805.0078125,0.0859375,131.17707542330027,886078,,
legacy,a3_offpolicy,44,,6796.4296875,0.0625,128.23154239356518,886549,,
legacy,a3_offpolicy,45,,6370.0859375,0.0546875,131.03994369134307,832452,,
legacy,a3_offpolicy,46,,6232.75,0.0625,119.81460097432137,813315,,
legacy,a3_offpolicy,47,,6929.6015625,0.078125,128.71986611559987,902849,,
legacy,a3_offpolicy,48,,7301.953125,0.0859375,133.67971392720938,951361,,
legacy,a3_offpolicy,49,,7021.53125,0.0703125,132.74900609254837,917371,,
legacy,a3_offpolicy,50,0.56,6749.3203125,0.109375,163.47597973048687,880977,,
legacy,a3_offpolicy,51,,6406.328125,0.078125,153.7907229810953,836979,,
legacy,a3_offpolicy,52,,7111.6796875,0.1015625,132.10253277793527,927185,,
legacy,a3_offpolicy,53,,6641.09375,0.0859375,117.48319099843502,864971,,
legacy,a3_offpolicy,54,,6595.5,0.078125,120.36980029568076,860200,,
legacy,a3_offpolicy,55,,6386.046875,0.0625,127.06979639455676,833901,,
legacy,a3_offpolicy,56,,6810.5,0.0859375,123.18142033740878,889040,,
legacy,a3_offpolicy,57,,6998.703125,0.0625,123.1660026870668,912685,,
legacy,a3_offpolicy,58,,7066.3359375,0.078125,129.8387200050056,919293,,
legacy,a3_offpolicy,59,,6381.0625,0.078125,119.41177370399237,832955,,
legacy,a3_offpolicy,60,,6916.453125,0.0703125,135.62849704921246,903693,,
legacy,a3_offpolicy,61,,6699.9140625,0.0625,130.34191006422043,876088,,
legacy,a3_offpolicy,62,,6701.1015625,0.0703125,128.27840876206756,876097,,
legacy,a3_offpolicy,63,,7054.4453125,0.0625,126.74208623543382,920328,,
legacy,a3_offpolicy,64,,7469.1796875,0.125,139.20451728999615,975741,,
legacy,a3_offpolicy,65,,6773.515625,0.0625,133.63952826708555,883866,,
legacy,a3_offpolicy,66,,7187.703125,0.109375,136.14619313180447,936831,,
legacy,a3_offpolicy,67,,6940.515625,0.109375,130.52978759631515,904736,,
legacy,a3_offpolicy,68,,5939.8828125,0.0234375,111.36816107854247,775200,,
legacy,a3_offpolicy,69,,6840.53125,0.0859375,129.37557781487703,891305,,
legacy,a3_offpolicy,70,,6938.8984375,0.1015625,132.98254745453596,905552,,
legacy,a3_offpolicy,71,,6448.2890625,0.0546875,123.52283249050379,841883,,
legacy,a3_offpolicy,72,,6412.96875,0.0625,119.03255332261324,837831,,
legacy,a3_offpolicy,73,,7243.75,0.1015625,138.19390244409442,945010,,
legacy,a3_offpolicy,74,,7357.03125,0.109375,148.81410921365023,959271,,
legacy,a3_offpolicy,75,0.468,6576.6796875,0.0703125,153.56678748130798,858145,,
legacy,a3_offpolicy,76,,6663.4453125,0.0703125,126.01327076926827,869789,,
legacy,a3_offpolicy,77,,6991.078125,0.109375,130.57766428217292,910809,,
legacy,a3_offpolicy,78,,6416.734375,0.0546875,116.92411628365517,838448,,
legacy,a3_offpolicy,79,,7487.5078125,0.09375,138.84118169918656,975174,,
legacy,a3_offpolicy,80,,7103.5859375,0.0625,137.7303391955793,926056,,
legacy,a3_offpolicy,81,,7183.21875,0.078125,141.98224067687988,936938,,
legacy,a3_offpolicy,82,,6557.234375,0.0625,123.23684770613909,855399,,
legacy,a3_offpolicy,83,,7044.796875,0.1015625,137.5344518199563,919765,,
legacy,a3_offpolicy,84,,6695.296875,0.1015625,128.86400258168578,872722,,
legacy,a3_offpolicy,85,,6838,0.0625,124.69361113756895,891444,,
legacy,a3_offpolicy,86,,7706.1640625,0.140625,142.68201425671577,1003794,,
legacy,a3_offpolicy,87,,6510.4375,0.0625,117.01464549079537,851342,,
legacy,a3_offpolicy,88,,7387.71875,0.109375,145.32929396256804,963303,,
legacy,a3_offpolicy,89,,6197.0078125,0.0703125,118.7938833385706,810297,,
legacy,a3_offpolicy,90,,7237.796875,0.109375,140.03591003641486,942622,,
legacy,a3_offpolicy,91,,6875.0546875,0.0859375,122.59541073068976,897402,,
legacy,a3_offpolicy,92,,6540.9296875,0.0859375,125.19148476421833,855762,,
legacy,a3_offpolicy,93,,6648.8203125,0.0859375,126.93579258024693,866991,,
legacy,a3_offpolicy,94,,6568.90625,0.0859375,125.32816781103611,858331,,
legacy,a3_offpolicy,95,,6400.40625,0.0859375,123.33675706759095,836201,,
legacy,a3_offpolicy,96,,6712.1875,0.078125,127.412129573524,876256,,
legacy,a3_offpolicy,97,,6852.6171875,0.09375,137.5284078605473,894346,,
legacy,a3_offpolicy,98,,7525.1796875,0.125,148.92025665193796,980216,,
legacy,a3_offpolicy,101,,6741.9765625,0.0703125,276.08182034268975,879162,,
legacy,a3_offpolicy,102,,6621.6328125,0.0546875,128.99144629761577,864405,,
legacy,a3_offpolicy,103,,6981.9296875,0.09375,134.6232268512249,909456,,
legacy,a3_offpolicy,104,,6585.65625,0.1015625,125.11553305387497,858994,,
legacy,a3_offpolicy,105,,6892.2109375,0.078125,130.19405522197485,898908,,
legacy,a3_offpolicy,106,,6867.078125,0.1015625,131.20015244930983,896668,,
legacy,a3_offpolicy,107,,6823.859375,0.046875,132.3817475065589,889962,,
legacy,a3_offpolicy,108,,6855.671875,0.09375,134.27709141746163,893297,,
legacy,a3_offpolicy,109,,6615.9609375,0.1015625,128.15696150809526,862940,,
legacy,a3_offpolicy,110,,7208.5234375,0.125,133.34428989887238,939063,,
legacy,a3_offpolicy,111,,6668.1953125,0.0859375,130.49624072760344,870982,,
legacy,a3_offpolicy,112,,7249.3828125,0.09375,139.34754622355103,945595,,
legacy,a3_offpolicy,113,,7021.5859375,0.046875,130.10836716368794,916080,,
legacy,a3_offpolicy,114,,6750.8671875,0.046875,127.15071299299598,879613,,
legacy,a3_offpolicy,115,,6245.3515625,0.078125,119.58807870745659,815625,,
legacy,a3_offpolicy,116,,6547.4921875,0.0546875,121.47413665056229,856214,,
legacy,a3_offpolicy,117,,6730.5546875,0.078125,127.02321302890778,877649,,
legacy,a3_offpolicy,118,,6773.8984375,0.0703125,123.84143044427037,884354,,
legacy,a3_offpolicy,119,,7225.7265625,0.078125,135.7416386269033,940427,,
legacy,a3_offpolicy,120,,6787.7734375,0.0703125,129.56558167934418,885001,,
legacy,a3_offpolicy,121,,7134.1328125,0.1015625,137.26572943851352,929924,,
legacy,a3_offpolicy,122,,6602.015625,0.078125,124.90066923201084,861714,,
legacy,a3_offpolicy,123,,6375.578125,0.0703125,126.98669332638383,831833,,
legacy,a3_offpolicy,126,,6722.1953125,0.1015625,186.51398643106222,876251,,
legacy,a3_offpolicy,127,,7268.046875,0.1015625,137.7820703908801,948193,,
legacy,a3_offpolicy,128,,7091.875,0.0859375,140.46174395643175,926713,,
legacy,a3_offpolicy,129,,6752.0078125,0.0859375,132.065214227885,881720,,
legacy,a3_offpolicy,130,,7255.1484375,0.125,129.67099554091692,947598,,
legacy,a3_offpolicy,131,,7672.3828125,0.140625,142.84068342857063,1001415,,
legacy,a3_offpolicy,132,,7356.515625,0.0859375,144.1601450201124,958695,,
legacy,a3_offpolicy,133,,7295.2734375,0.140625,131.37202098220587,950360,,
legacy,a3_offpolicy,134,,6982.9296875,0.078125,131.9251409638673,909712,,
legacy,a3_offpolicy,135,,6946.71875,0.09375,128.68501108139753,903950,,
legacy,a3_offpolicy,136,,6227.7734375,0.0390625,119.54627851396799,814279,,
legacy,a3_offpolicy,137,,7049.90625,0.09375,137.61659687571228,918923,,
legacy,a3_offpolicy,138,,6103.359375,0.0390625,113.53632704727352,797363,,
legacy,a3_offpolicy,139,,6586.9375,0.0703125,122.87500467523932,860080,,
