wave,arm,step,val_acc,resp_len,clip_ratio
corr,b2_forward_kl,7,,1279.484375,0.0078125
corr,b2_forward_kl,8,,1218.7109375,0.0078125
corr,b2_forward_kl,9,,1595.6875,0.015625
corr,b2_forward_kl,10,,1057.9921875,0.0078125
corr,b2_forward_kl,11,,1404.5234375,0.0078125
corr,b2_forward_kl,12,,1172.84375,0.0078125
corr,b2_forward_kl,13,,1241.875,0.015625
corr,b2_forward_kl,14,,1222.7734375,0.015625
corr,b2_forward_kl,15,,1388.171875,0.015625
corr,b2_forward_kl,16,,1004.765625,0.0078125
corr,b2_forward_kl,17,,1004.90625,0.0078125
corr,b2_forward_kl,18,,1256.0703125,0.0078125
corr,b2_forward_kl,19,,962.6171875,0.0078125
corr,b2_forward_kl,20,,931.65625,0.0078125
corr,b2_forward_kl,21,,1056.0703125,0.0078125
corr,b2_forward_kl,22,,1142.234375,0.0078125
corr,b2_forward_kl,23,,1049.5859375,0.0078125
corr,b2_forward_kl,24,,989.3828125,0.0078125
corr,b2_forward_kl,25,0.528,983.4921875,0.0078125
corr,b2_forward_kl,26,,1234.1484375,0.0078125
corr,b2_forward_kl,27,,1092.703125,0.0078125
corr,b2_forward_kl,28,,1023.421875,0.0078125
corr,b2_forward_kl,29,,1157.609375,0.0078125
corr,b2_forward_kl,30,,1226.7734375,0.0078125
corr,b2_forward_kl,31,,1745.8671875,0.0078125
corr,b2_forward_kl,32,,1658.390625,0.0078125
corr,b2_forward_kl,33,,2060.2734375,0.0078125
corr,b2_forward_kl,34,,3684.7734375,0.046875
corr,b2_forward_kl,35,,3818.3359375,0.046875
corr,b2_forward_kl,36,,4338.84375,0.0546875
corr,b2_forward_kl,37,,5234.640625,0.1015625
corr,b2_forward_kl,38,,6316.734375,0.15625
corr,b2_forward_kl,39,,6616.75,0.1953125
corr,b2_forward_kl,40,,7225.328125,0.203125
corr,b2_forward_kl,41,,7466.2265625,0.2109375
corr,b2_forward_kl,42,,8884.9609375,0.3046875
corr,b2_forward_kl,43,,8724.7109375,0.28125
corr,b2_forward_kl,44,,9236.828125,0.34375
corr,b2_forward_kl,45,,7900.59375,0.25
corr,b2_forward_kl,46,,7563.3203125,0.2421875
corr,b2_forward_kl,47,,7876.5078125,0.2890625
corr,b2_forward_kl,48,,7711.328125,0.2109375
corr,b2_forward_kl,49,,7811.328125,0.234375
corr,b2_forward_kl,50,0.56,7353.34375,0.2265625
corr,b2_forward_kl,51,,7725.8515625,0.2109375
corr,b2_forward_kl,52,,7906.75,0.2109375
corr,b2_forward_kl,53,,7220.1953125,0.171875
corr,b2_forward_kl,54,,7583.765625,0.1328125
corr,b2_forward_kl,55,,7459.4453125,0.15625
corr,b2_forward_kl,56,,7337.046875,0.125
