arm	global_step
vanilla_te	25
vanilla_te	50
vanilla_te	100
vanilla_te	150
vanilla_te	200
vanilla_te	250
c2_qb_fixed8_corr	25
c2_qb_fixed8_corr	50
c2_qb_fixed8_corr	100
c2_qb_fixed8_corr	150
c2_qb_fixed8_corr	200
c2_qb_perseq_corr	25
c2_qb_perseq_corr	50
c2_qb_perseq_corr	100
c2_qb_perseq_corr	150
c2_qb_perseq_corr	200
c5_union_rkl	100
c5_union_rkl	150
c5_union_fkl	150
c5_union_fkl	200
n2_corr	25
n2_corr	50
n2_corr	100
n2_corr	150
n2_corr	200
n2_corr	250
b1_skew_kl_corr	25
b1_skew_kl_corr	50
b1_skew_kl_corr	100
b1_skew_kl_corr	150
b1_skew_kl_corr	200
b2_forward_kl_corr	25
b2_forward_kl_corr	50
b2_forward_kl_corr	100
b2_forward_kl_corr	150
b2_forward_kl_corr	200
c3_intersection_corr	25
c3_intersection_corr	50
c3_intersection_corr	100
c3_intersection_corr	150
c3_intersection_corr	200
d2_selectkd_corr	25
d2_selectkd_corr	50
d2_selectkd_corr	100
d2_selectkd_corr	150
d2_selectkd_corr	200
d3_teachability_corr	25
d3_teachability_corr	50
d3_teachability_corr	100
d3_teachability_corr	150
d3_teachability_corr	200
e2_set_coverage_a0_corr	25
e2_set_coverage_a0_corr	50
e2_set_coverage_a0_corr	100
e2_set_coverage_a0_corr	125
f2_hard_clip_corr	25
f2_hard_clip_corr	50
f2_hard_clip_corr	100
f2_hard_clip_corr	150
f2_hard_clip_corr	200
f3_power_corr	25
f3_power_corr	50
f3_power_corr	100
f3_power_corr	150
f3_power_corr	200
g6_seqmean_corr	25
g6_seqmean_corr	50
g6_seqmean_corr	100
g6_seqmean_corr	125
g1_verified_only_corr	25
g1_verified_only_corr	50
g1_verified_only_corr	100
g1_verified_only_corr	150
g1_verified_only_corr	175
g1_verified_only_corr	200
h1_first_segment_corr	25
h1_first_segment_corr	50
h1_first_segment_corr	100
h1_first_segment_corr	150
h1_first_segment_corr	200
h2_last_segment_corr	25
h2_last_segment_corr	50
h2_last_segment_corr	100
h3_random_segment_corr	25
h3_random_segment_corr	50
h3_random_segment_corr	100
h3_random_segment_corr	150
h3_random_segment_corr	175
h3_random_segment_corr	200
h4_random_scatter_corr	25
h4_random_scatter_corr	50
h4_random_scatter_corr	100
h4_random_scatter_corr	150
h4_random_scatter_corr	175
h4_random_scatter_corr	200
a1_gkd_mix0.5_n0	100
a1_gkd_mix0.5_n0	150
a1_gkd_mix0.5_n0	200
a3_offpolicy_n0	100
a3_offpolicy_n0	150
a3_offpolicy_n0	200
a4_dagger_anneal_n0	25
a4_dagger_anneal_n0	100
a4_dagger_anneal_n0	150
a4_dagger_anneal_n0	175
a4_dagger_anneal_n0	200
a5_aggrevate_n0	25
a5_aggrevate_n0	50
a5_aggrevate_n0	100
a5_aggrevate_n0	125
a5_aggrevate_n0	150
a5_aggrevate_n0	175
a5_aggrevate_n0	200
