arm	target_steps	ckpt_max_step	n_checkpoints	launch_max_step	n_steps_logged	reached_target	n_launch_files
vanilla_corr	250	250	10	250	250	1	12
vanilla_te	250	250	10	250	250	1	11
c2_quantile_budget_corr	200	200	8	200	200	1	9
c4_pi_tail_budget_corr	200	200	8	200	199	1	7
c4_hq	200	200	8	200	200	1	4
c4_state	200	175	7	174	173	0	5
c2_qb_fixed8_corr	200	200	8	199	199	1	11
c2_qb_perseq_corr	200	200	8	200	200	1	9
c5_union_rkl	250	125	5	145	145	0	13
c5_union_fkl	250	175	7	196	196	0	12
n2_corr	250	125	5	139	138	0	9
b1_skew_kl_corr	200	150	6	173	172	0	6
b2_forward_kl_corr	200	75	3	90	90	0	4
c3_intersection_corr	200	200	8	200	199	1	6
d2_selectkd_corr	200	175	7	191	189	0	8
d3_teachability_corr	200	200	8	199	198	1	9
e2_set_coverage_a0_corr	200	125	5	148	148	0	7
f2_hard_clip_corr	200	100	4	118	118	0	5
f3_power_corr	200	175	7	193	192	0	4
g6_seqmean_corr	200	50	2	66	66	0	2
g1_verified_only_corr	200	125	5	129	129	0	3
h1_first_segment_corr	200	200	8	200	200	1	4
h2_last_segment_corr	200	50	2	73	73	0	2
h3_random_segment_corr	200	100	4	117	117	0	5
h4_random_scatter_corr	200	100	4	114	114	0	5
a1_gkd_mix0.5_n0	200	125	5	126	126	0	2
a3_offpolicy_n0	200	125	5	141	140	0	2
a4_dagger_anneal_n0	200	100	4	99	99	0	1
a5_aggrevate_n0	200	50	2	59	59	0	1
