arm	light_jsonl_lines	n_ids_parquet	n_summary_parquet	n_step_parquet	n_div_rank_jsonl	n_tok_parquet	has_run_manifest	n_val_gen_files
vanilla_corr	41856	250	10	10	1	0	1	10
vanilla_te	41856	250	10	10	1	0	1	10
c2_quantile_budget_corr	34688	200	8	8	1	0	1	8
c4_pi_tail_budget_corr	31872	200	8	8	1	0	1	7
c4_hq	27520	200	8	8	1	0	1	8
c4_state	27648	175	7	7	1	0	1	5
c2_qb_fixed8_corr	36096	200	8	8	1	0	1	7
c2_qb_perseq_corr	34432	200	8	8	1	0	1	8
c5_union_rkl	28416	145	5	5	1	0	1	5
c5_union_fkl	36736	196	7	7	1	0	1	7
n2_corr	25984	139	5	5	1	0	1	4
b1_skew_kl_corr	27392	173	6	6	1	0	1	5
b2_forward_kl_corr	13440	90	3	3	1	0	1	3
c3_intersection_corr	27648	200	8	8	1	0	1	7
d2_selectkd_corr	27264	191	7	7	1	0	1	5
d3_teachability_corr	35456	200	8	8	1	0	1	6
e2_set_coverage_a0_corr	25088	148	5	5	1	0	1	5
f2_hard_clip_corr	19072	118	4	4	1	0	1	4
f3_power_corr	25600	193	7	7	1	0	1	7
g6_seqmean_corr	8576	66	2	2	1	0	1	2
g1_verified_only_corr	19328	129	5	5	1	0	1	5
h1_first_segment_corr	29696	200	8	8	1	0	1	8
h2_last_segment_corr	9600	73	2	2	1	0	1	2
h3_random_segment_corr	18304	117	4	4	1	0	1	4
h4_random_scatter_corr	16768	114	4	4	1	0	1	4
a1_gkd_mix0.5_n0	16384	126	5	5	1	0	1	5
a3_offpolicy_n0	18048	141	5	5	1	0	1	4
a4_dagger_anneal_n0	12800	100	4	4	1	0	1	3
a5_aggrevate_n0	7552	59	2	2	1	0	1	2
