arm	step	n_rows	tch_lp_nan_mean	tch_lp_sum_mean	tch_lp_last_mean
h2_last_segment_corr	50	128	0	-5678.71	-16.7799
h3_random_segment_corr	25	128	0	-1292.37	-24.5855
h3_random_segment_corr	50	128	0	-2208.91	-34.088
h3_random_segment_corr	75	128	0	-4875.62	-30.5023
h3_random_segment_corr	100	128	0	-5532.65	-25.7624
h4_random_scatter_corr	25	128	0	-1146.87	-24.0118
h4_random_scatter_corr	50	128	0	-2688.24	-33.4153
h4_random_scatter_corr	75	128	0	-5329.34	-14.8783
h4_random_scatter_corr	100	128	0	-5212.38	-19.9003
a1_gkd_mix0.5_n0	25	128	0	-6166.01	-7.89409
a1_gkd_mix0.5_n0	50	128	0	-10883.1	-7.61182
a1_gkd_mix0.5_n0	75	128	0	-12125.5	-20.286
a1_gkd_mix0.5_n0	100	128	0	-7157.84	-26.1551
a1_gkd_mix0.5_n0	125	128	0	-6570.08	-29.6369
a3_offpolicy_n0	25	128	0	-1914.42	-0.287732
a3_offpolicy_n0	50	128	0	-1828.72	-0.29404
a3_offpolicy_n0	75	128	0	-1938.66	-0.211944
a3_offpolicy_n0	100	128	0	-2114.9	-0.210491
a3_offpolicy_n0	125	128	0	-1948.69	-0.262616
a4_dagger_anneal_n0	25	128	0	-1961.12	-1.4402
a4_dagger_anneal_n0	50	128	0	-4959.81	-2.42044
a4_dagger_anneal_n0	75	128	0	-11379.3	-8.56071
a4_dagger_anneal_n0	100	128	0	-7055.01	-20.7915
a5_aggrevate_n0	25	128	0	-2986.97	-9.74948
a5_aggrevate_n0	50	128	0	-5123.07	-7.02799
